,RollNo,SGPA,CGPA,STM,CC,DWDM,LP,ML,Project-I,LP Lab,STM Lab,Semester
213,19N31A05H8,8.36,8.34,A+,A,B+,A,B+,O,A+,O,4-1-CSE
214,19N31A05H9,8.14,8.22,A,A,B,B+,A,O,O,O,4-1-CSE
218,19N31A05J0,,,B+,F,F,F,B+,A,A+,A+,4-1-CSE
219,19N31A05J1,8.43,8.68,A+,B+,A,A,B+,O,O,O,4-1-CSE
220,19N31A05J2,8.07,8.51,A,B+,B+,A,B+,O,O,A+,4-1-CSE
221,19N31A05J3,,,B+,F,F,F,F,A,A,B,4-1-CSE
222,19N31A05J4,8.29,8.51,A,A,B+,A,B+,O,O,O,4-1-CSE
223,19N31A05J5,,,F,B+,F,B+,B,A+,O,A,4-1-CSE
224,19N31A05J6,8.0,8.52,A,B,B+,A,B+,O,O,O,4-1-CSE
225,19N31A05J7,8.21,8.06,A,A,B+,A,B+,O,O,A+,4-1-CSE
226,19N31A05J8,7.29,7.12,B+,B,B,B+,B,O,A+,A+,4-1-CSE
227,19N31A05J9,,,F,B,C,B,F,O,A+,A+,4-1-CSE
228,19N31A05K0,7.71,8.06,B+,B,B+,B+,B+,O,O,O,4-1-CSE
229,19N31A05K1,,,F,F,C,F,F,O,O,B+,4-1-CSE
230,19N31A05K2,7.21,7.54,B+,B+,B,B,C,O,O,A+,4-1-CSE
231,19N31A05K3,7.14,7.75,B+,B+,B,B,C,O,O,A,4-1-CSE
232,19N31A05K4,8.0,8.46,A,B+,B+,B+,B+,O,O,O,4-1-CSE
236,19N31A05K5,8.43,8.83,A,A,A,B+,A,O,O,O,4-1-CSE
237,19N31A05K6,7.71,8.22,A,B,B,B+,B+,O,O,O,4-1-CSE
238,19N31A05K7,7.79,8.24,A,B,B+,B+,B+,O,O,A+,4-1-CSE
239,19N31A05K8,7.79,8.16,A,B+,B+,B+,B,O,O,A+,4-1-CSE
240,19N31A05K9,8.29,8.29,A+,B+,B+,A,B+,O,O,O,4-1-CSE
241,19N31A05L0,7.5,7.53,A,B,B,B,B+,O,O,A+,4-1-CSE
